Região;Local;Longitude;Latitude;Referências;;;;;;;;;
América do Sul;    antofagasta;-70.23;-23.40;Brncic D. and Martinez H. (1990), Lista de ejemplares de Drosoph ... ;;;;;;;;;
América do Sul;    boraceia/sp;-43.50;-23.40;Val F.C. and Kaneshiro K.Y. (1988), Drosophilidae (Diptera) from t ... ;;;;;;;;;
América do Sul;    guaratuba/sp;-45.53;-23.50;Sene F.M. et al. (1980), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    guaratuba/sp;-45.53;-23.50 ;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    senges; -49.23;-24.07;Mateus R.P. et al. (2006), The Drosophila community in xe ... ;;;;;;;;;
América do Sul;    peruibe/sp;-46.55;-24.14;Sene F.M. et al. (1980), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    peruibe/sp;-46.55;-24.14;Sene F.M. et al. (1981), Influence of different ways to ... ;;;;;;;;;
América do Sul;    peruibe/sp;-46.55;-24.14 ;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    peruibe/sp;-46.55;-24.14;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    canyon guartela;-50.18;-24.32;Mateus R.P. et al. (2006), The Drosophila community in xe ... ;;;;;;;;;
América do Sul;    eldorado/rgs; -48.08;-24.33;Napp M. and Cordeiro A.R. (1978), Genetic variability and disequ ... ;;;;;;;;;
América do Sul;    salto santa rosa;-50.33;-24.37;Mateus R.P. et al. (2006), The Drosophila community in xe ... ;;;;;;;;;
América do Sul;la vina;-65.33;-25.30;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    joinville/sc; -48.51;-26.18 ;Doge J.S. et al. (2008), Drosophilids (Diptera) from an ... ;;;;;;;;;
América do Sul;    tapia;-65.22;-26.32 ;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    barra velha/sc;-48.42;-26.37;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    puerto tirol;-59.10;-27.18 ;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    ratones;-48.30;-27.27;Schmitz H.J. et al. (2007), Taxonomic Survey of Drosophili ... ;;;;;;;;;
América do Sul;    resistencia;-59.00;-27.28;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
