Região;Local;Longitude;Latitude;Referência;;;;;;;;;
América do Sul;santo domingo/ecuador;-79,09;-0,13; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    santo domingo/ecuador;-79,09;-0,13; da Cunha A.B. et al. (1959); Genetics of natural population ...;;;;;;;;
América do Sul;    santo domingo/ecuador;-79,09;-0,13; Dobzhansky T. (1965);" Wild"" and ""Domestic"" Species o ...";;;;;;;;
América do Sul;    santo domingo/ecuador;-79,09;-0,13; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    icana;-67,22;-0,23; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    icana;-67,22;-0,23; da Cunha A.B. and Dobzhansky T. (1954); A further study of chromosomal ...;;;;;;;;
América do Sul;    icana;-67,22;-0,23; da Cunha A.B. et al. (1959); Genetics of natural population ...;;;;;;;;
América do Sul;    icana;-67,22;-0,23; Dobzhansky T. (1965);" Wild"" and ""Domestic"" Species o ...";;;;;;;;
América do Sul;    icana;-67,22;-0,23; Nolte D.J. (1958); Eye pigment relationships in t ...;;;;;;;;
América do Sul;    icana;-67,22;-0,23; Oelshlegel F.J. and Brewer G.J. (1975); Interspecific variation of pho ...;;;;;;;;
América do Sul;    icana;-67,22;-0,23; Rizki M.T.M. (1955); Genetic modification of a temp ...;;;;;;;;
América do Sul;    icana;-67,22;-0,23; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    icana;-67,22;-0,23; Vetukhiv M. (1954); Integration of the genotype in ...;;;;;;;;
América do Sul;    tapuruquara;-65,01;-0,23; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    tapuruquara;-65,01;-0,23; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    baltra;-90,15;-0,27; Linsley E.G. and Usinger R.L. (1966); Insects of the Galapagos islan ...;;;;;;;;
